Call ID,Segment,Date,StartTime,Calling Party,DialedNumber,Disposition,DispositionTime,Skill,AnsLogid,TalkTime,HoldTime,ACWTime,TransferedOut,ConferencedIn,Assist,LastCallWorkCode
994030,2,21-07-2017,12:47PM,001V03001,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994031,1,21-07-2017,12:49PM,002V03005,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994032,1,21-07-2017,1:00PM,002V02018,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994033,2,21-07-2017,1:02PM,002V03029,,OTHER,:00,48,,0.0,:00,:00,N,N,N,
994034,2,21-07-2017,12:53PM,001V03005,,OTHER,:00,43,,0.0,:00,:00,N,N,N,
994035,2,21-07-2017,12:52PM,4.48E+11,8062,ANS,:17,45,6078,01.50.00,04:15,:05,Y,N,N,
994035,2,21-07-2017,12:59PM,10290,10310,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994036,2,21-07-2017,12:57PM,0,8062,ANS,:08,45,6074,05.32.00,:00,:05,N,N,N,
994037,1,21-07-2017,1:03PM,001V03017,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994038,1,21-07-2017,1:03PM,001V03018,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994039,1,21-07-2017,1:01PM,002V03024,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994040,1,21-07-2017,12:33PM,002V03022,,OTHER,:00,32,,0.0,:00,:00,N,N,N,
994041,1,21-07-2017,1:04PM,001V03019,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994042,2,21-07-2017,1:01PM,002V03027,,OTHER,:00,41,,0.0,:00,:00,N,N,N,
994043,2,21-07-2017,1:02PM,002V02020,,OTHER,:00,43,,0.0,:00,:00,N,N,N,
994044,2,21-07-2017,1:03PM,002V03030,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994045,1,21-07-2017,1:05PM,002V03002,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994046,2,21-07-2017,1:05PM,002V02022,,OTHER,:00,48,,0.0,:00,:00,N,N,N,
