"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Mar-2016","-","-","-","     2888.35","       18382567","          244.49"
"17-Mar-2016","-","-","-","     2941.62","       18626013","          341.89"
"18-Mar-2016","-","-","-","     3009.68","       21937821","          368.97"
"21-Mar-2016","-","-","-","     3070.61","       18150331","          416.70"
"22-Mar-2016","-","-","-","     3061.36","       19122330","          403.82"
"23-Mar-2016","-","-","-","     3091.14","       32832619","          453.17"
"28-Mar-2016","-","-","-","     3052.58","       26805932","          437.53"
"29-Mar-2016","-","-","-","     3049.88","       19004573","          303.34"
"30-Mar-2016","-","-","-","     3105.23","       21178169","          373.36"
"31-Mar-2016","-","-","-","     3141.36","       30073186","          592.86"
"01-Apr-2016","-","-","-","     3105.94","       13277335","          236.36"
"04-Apr-2016","-","-","-","     3146.93","       22835599","          301.87"
"05-Apr-2016","-","-","-","     3063.11","       17357948","          269.75"
"06-Apr-2016","-","-","-","     3143.26","       19471890","          350.16"
"07-Apr-2016","-","-","-","     3106.71","        9359362","          187.08"
"08-Apr-2016","-","-","-","     3133.27","       13269156","          287.27"
"11-Apr-2016","-","-","-","     3193.06","       21336719","          348.68"
"12-Apr-2016","-","-","-","     3194.83","       18324751","          320.74"
"13-Apr-2016","-","-","-","     3272.74","       26996797","          525.44"
"18-Apr-2016","-","-","-","     3360.19","       20455477","          441.10"
"20-Apr-2016","-","-","-","     3334.14","       30335817","          447.44"
"21-Apr-2016","-","-","-","     3276.38","       22827737","          340.03"
"22-Apr-2016","-","-","-","     3279.70","       13868452","          275.94"
"25-Apr-2016","-","-","-","     3275.10","       13739292","          398.76"
"26-Apr-2016","-","-","-","     3330.12","       24457367","          395.73"
"27-Apr-2016","-","-","-","     3305.14","       14986900","          314.70"
"28-Apr-2016","-","-","-","     3279.64","       28576585","          459.53"
"29-Apr-2016","-","-","-","     3229.05","       38908814","          497.15"
"02-May-2016","-","-","-","     3234.26","       22892727","          292.10"
"03-May-2016","-","-","-","     3262.19","       17768344","          339.26"
"04-May-2016","-","-","-","     3226.96","       17649386","          244.28"
"05-May-2016","-","-","-","     3157.80","       23065908","          335.74"
"06-May-2016","-","-","-","     3160.69","       18587723","          277.76"
"09-May-2016","-","-","-","     3198.26","       16115250","          314.60"
"10-May-2016","-","-","-","     3200.44","       16788935","          282.10"
"11-May-2016","-","-","-","     3227.36","       27733842","          479.38"
"12-May-2016","-","-","-","     3259.53","       14002700","          291.27"
"13-May-2016","-","-","-","     3232.64","       19774395","          354.16"
"16-May-2016","-","-","-","     3229.01","       12498205","          208.88"
"17-May-2016","-","-","-","     3258.90","       12837074","          271.84"
"18-May-2016","-","-","-","     3255.12","       12784582","          299.07"
"19-May-2016","-","-","-","     3219.01","       15613837","          317.15"
"20-May-2016","-","-","-","     3185.87","       16473146","          286.89"
"23-May-2016","-","-","-","     3182.93","       10993477","          202.00"
"24-May-2016","-","-","-","     3196.44","       15831491","          218.45"
"25-May-2016","-","-","-","     3243.12","       14544539","          277.62"
"26-May-2016","-","-","-","     3265.19","       21676718","          369.10"
"27-May-2016","-","-","-","     3282.91","       16996884","          291.58"
"30-May-2016","-","-","-","     3306.17","       49095049","          596.64"
"31-May-2016","-","-","-","     3323.08","       53118812","          719.36"
"01-Jun-2016","-","-","-","     3343.95","       17473013","          283.34"
"02-Jun-2016","-","-","-","     3352.68","       20240258","          304.40"
"03-Jun-2016","-","-","-","     3249.51","      219475666","         2487.98"
"06-Jun-2016","-","-","-","     3275.26","       27729966","          369.37"
"07-Jun-2016","-","-","-","     3323.78","       24478561","          474.75"
"08-Jun-2016","-","-","-","     3339.05","       19523070","          334.54"
"09-Jun-2016","-","-","-","     3346.58","       21802522","          380.96"
"10-Jun-2016","-","-","-","     3355.31","       34476579","          509.27"
"13-Jun-2016","-","-","-","     3334.46","       27549027","          421.05"
"14-Jun-2016","-","-","-","     3296.40","       19931165","          287.85"
"15-Jun-2016","-","-","-","     3325.02","       17550191","          281.36"
"16-Jun-2016","-","-","-","     3292.56","       25712489","          422.26"
"17-Jun-2016","-","-","-","     3317.15","       15519345","          272.19"
"20-Jun-2016","-","-","-","     3360.39","       16200915","          258.38"
"21-Jun-2016","-","-","-","     3364.55","       19419363","          289.46"
"22-Jun-2016","-","-","-","     3328.31","       14908195","          320.11"
"23-Jun-2016","-","-","-","     3347.88","       12819227","          280.84"
"24-Jun-2016","-","-","-","     3294.18","       30128087","          486.73"
"27-Jun-2016","-","-","-","     3380.52","       20596590","          446.01"
"28-Jun-2016","-","-","-","     3419.65","       27646907","          529.61"
"29-Jun-2016","-","-","-","     3442.17","       18749601","          409.33"
"30-Jun-2016","-","-","-","     3502.94","       60104921","          993.65"
"01-Jul-2016","-","-","-","     3511.74","       15621652","          373.30"
"04-Jul-2016","-","-","-","     3508.47","       14477847","          305.92"
"05-Jul-2016","-","-","-","     3477.53","       16398703","          375.55"
"07-Jul-2016","-","-","-","     3495.91","       20617978","          380.39"
"08-Jul-2016","-","-","-","     3474.76","       15490990","          366.88"
"11-Jul-2016","-","-","-","     3523.87","       11007862","          295.82"
"12-Jul-2016","-","-","-","     3569.35","       31239451","          616.62"
"13-Jul-2016","-","-","-","     3551.36","       29281060","          526.38"
"14-Jul-2016","-","-","-","     3603.00","       17791735","          433.22"
"15-Jul-2016","-","-","-","     3642.93","       23068868","          466.97"
"18-Jul-2016","-","-","-","     3595.10","       32082036","          553.14"
"19-Jul-2016","-","-","-","     3606.94","       22033039","          588.47"
"20-Jul-2016","-","-","-","     3641.17","       17269717","          448.51"
"21-Jul-2016","-","-","-","     3679.88","       16939859","          492.39"
"22-Jul-2016","-","-","-","     3699.10","       19212168","          427.99"
"25-Jul-2016","-","-","-","     3720.25","       13726977","          431.11"
"26-Jul-2016","-","-","-","     3695.95","       20541321","          428.72"
"27-Jul-2016","-","-","-","     3702.91","       15620554","          347.76"
"28-Jul-2016","-","-","-","     3713.45","       18096356","          489.15"
"29-Jul-2016","-","-","-","     3730.66","       12228687","          309.25"
"01-Aug-2016","-","-","-","     3779.41","       16889301","          427.70"
"02-Aug-2016","-","-","-","     3737.70","       17508080","          445.73"
"03-Aug-2016","-","-","-","     3741.37","       14992732","          366.50"
"04-Aug-2016","-","-","-","     3751.21","       11387767","          299.87"
"05-Aug-2016","-","-","-","     3889.37","       17574283","          526.26"
"08-Aug-2016","-","-","-","     3899.25","       32643964","          685.77"
"09-Aug-2016","-","-","-","     3851.93","       41466539","          739.02"
"10-Aug-2016","-","-","-","     3728.91","       28668403","          805.76"
"11-Aug-2016","-","-","-","     3689.69","       27332365","          887.41"
"12-Aug-2016","-","-","-","     3645.88","       45018573","         2603.42"
"16-Aug-2016","-","-","-","     3664.09","       29455107","         1048.16"
"17-Aug-2016","-","-","-","     3649.32","       25277403","          709.11"
"18-Aug-2016","-","-","-","     3759.42","       15490398","          626.53"
"19-Aug-2016","-","-","-","     3801.57","       21185934","          645.03"
"22-Aug-2016","-","-","-","     3745.99","       13893817","          435.58"
"23-Aug-2016","-","-","-","     3774.66","       36456372","          706.94"
"24-Aug-2016","-","-","-","     3763.63","       22870033","          486.59"
"25-Aug-2016","-","-","-","     3718.39","       18904888","          645.44"
"26-Aug-2016","-","-","-","     3722.41","       15021895","          329.05"
"29-Aug-2016","-","-","-","     3724.61","-","-"
"30-Aug-2016","-","-","-","     3819.56","-","-"
"31-Aug-2016","-","-","-","     3853.33","-","-"
"01-Sep-2016","-","-","-","     3793.81","-","-"
"02-Sep-2016","-","-","-","     3805.22","-","-"
"06-Sep-2016","-","-","-","     3823.12","-","-"
"07-Sep-2016","-","-","-","     3815.85","-","-"
"08-Sep-2016","-","-","-","     3865.41","-","-"
"09-Sep-2016","-","-","-","     3754.26","-","-"
"12-Sep-2016","-","-","-","     3643.15","-","-"
"14-Sep-2016","-","-","-","     3704.13","-","-"
"15-Sep-2016","-","-","-","     3711.97","-","-"
"16-Sep-2016","-","-","-","     3724.42","-","-"
"19-Sep-2016","-","-","-","     3755.89","-","-"
"20-Sep-2016","-","-","-","     3757.10","-","-"
"21-Sep-2016","-","-","-","     3754.42","-","-"
"22-Sep-2016","-","-","-","     3783.02","-","-"
"23-Sep-2016","-","-","-","     3769.72","-","-"
"26-Sep-2016","-","-","-","     3728.42","-","-"
"27-Sep-2016","-","-","-","     3701.77","-","-"
"28-Sep-2016","-","-","-","     3777.81","-","-"
"29-Sep-2016","-","-","-","     3652.32","-","-"
"30-Sep-2016","-","-","-","     3678.55","-","-"
"03-Oct-2016","-","-","-","     3743.20","-","-"
"04-Oct-2016","-","-","-","     3759.53","-","-"
"05-Oct-2016","-","-","-","     3803.64","-","-"
"06-Oct-2016","-","-","-","     3794.62","-","-"
"07-Oct-2016","-","-","-","     3798.56","-","-"
"10-Oct-2016","-","-","-","     3814.17","-","-"
"13-Oct-2016","-","-","-","     3754.48","-","-"
"14-Oct-2016","-","-","-","     3768.93","-","-"
"17-Oct-2016","-","-","-","     3708.50","-","-"
"18-Oct-2016","-","-","-","     3733.87","-","-"
"19-Oct-2016","-","-","-","     3760.73","-","-"
"20-Oct-2016","-","-","-","     3780.40","-","-"
"21-Oct-2016","-","-","-","     3759.44","-","-"
"24-Oct-2016","-","-","-","     3740.43","-","-"
"25-Oct-2016","-","-","-","     3759.56","-","-"
"26-Oct-2016","-","-","-","     3743.30","-","-"
"27-Oct-2016","-","-","-","     3715.38","-","-"
"28-Oct-2016","-","-","-","     3736.32","       13514485","          347.67"
"30-Oct-2016","-","-","-","     3742.37","-","-"
"01-Nov-2016","-","-","-","     3761.49","-","-"
"02-Nov-2016","-","-","-","     3683.07","-","-"
"03-Nov-2016","-","-","-","     3672.68","-","-"
"04-Nov-2016","-","-","-","     3611.19","-","-"
"07-Nov-2016","-","-","-","     3689.18","-","-"
"08-Nov-2016","-","-","-","     3704.94","-","-"
"09-Nov-2016","-","-","-","     3579.54","-","-"
"10-Nov-2016","-","-","-","     3688.24","-","-"
"11-Nov-2016","-","-","-","     3543.77","-","-"
"15-Nov-2016","-","-","-","     3335.51","-","-"
"16-Nov-2016","-","-","-","     3314.09","-","-"
"17-Nov-2016","-","-","-","     3314.00","-","-"
"18-Nov-2016","-","-","-","     3333.33","-","-"
"21-Nov-2016","-","-","-","     3238.17","-","-"
"22-Nov-2016","-","-","-","     3330.33","-","-"
"23-Nov-2016","-","-","-","     3392.81","-","-"
"24-Nov-2016","-","-","-","     3419.80","-","-"
"25-Nov-2016","-","-","-","     3452.54","-","-"
"28-Nov-2016","-","-","-","     3476.74","-","-"
"29-Nov-2016","-","-","-","     3509.91","-","-"
"30-Nov-2016","-","-","-","     3550.86","-","-"
"01-Dec-2016","-","-","-","     3495.24","-","-"
"02-Dec-2016","-","-","-","     3498.92","-","-"
"05-Dec-2016","-","-","-","     3508.22","-","-"
"06-Dec-2016","-","-","-","     3529.88","-","-"
"07-Dec-2016","-","-","-","     3522.91","-","-"
"08-Dec-2016","-","-","-","     3575.84","-","-"
"09-Dec-2016","-","-","-","     3561.61","-","-"
"12-Dec-2016","-","-","-","     3492.80","-","-"
"13-Dec-2016","-","-","-","     3431.64","-","-"
"14-Dec-2016","-","-","-","     3406.35","-","-"
"15-Dec-2016","-","-","-","     3367.29","-","-"
"16-Dec-2016","-","-","-","     3294.33","-","-"
"19-Dec-2016","-","-","-","     3266.32","-","-"
"20-Dec-2016","-","-","-","     3256.67","-","-"
"21-Dec-2016","-","-","-","     3279.94","-","-"
"22-Dec-2016","-","-","-","     3215.64","-","-"
"23-Dec-2016","-","-","-","     3200.10","-","-"
"26-Dec-2016","-","-","-","     3143.96","-","-"
"27-Dec-2016","-","-","-","     3189.94","-","-"
"28-Dec-2016","-","-","-","     3190.73","-","-"
"29-Dec-2016","-","-","-","     3267.27","-","-"
"30-Dec-2016","-","-","-","     3313.93","-","-"
